Scenario,Region,Variable,2020,2025,2030,2035,2040,2045,2050
CP_EI_CoC,Africa_Eastern,electricity_price,0.140011,0.133015,0.13159,0.137935,0.13634,0.133272,0.129513
CP_EI_CoC,Africa_Northern,electricity_price,0.12097,0.120012,0.115848,0.115459,0.114793,0.113165,0.112082
CP_EI_CoC,Africa_Southern,electricity_price,0.170439,0.169336,0.165827,0.16092,0.157181,0.155955,0.155133
CP_EI_CoC,Africa_Western,electricity_price,0.121633,0.118576,0.113643,0.115391,0.117371,0.117847,0.117165
CP_EI_CoC,Argentina,electricity_price,0.131025,0.12744,0.121551,0.12184,0.119282,0.117855,0.117465
CP_EI_CoC,Australia_NZ,electricity_price,0.078188,0.035473,0.080336,0.009368,0.069834,0.083605,0.095767
CP_EI_CoC,Brazil,electricity_price,0.099523,0.033531,0.053968,0.073192,0.078983,0.079825,0.083763
CP_EI_CoC,Canada,electricity_price,0.093255,0.089621,0.08585,0.087981,0.091535,0.090725,0.088594
CP_EI_CoC,Central America and Caribbean,electricity_price,0.124919,0.129482,0.132814,0.134479,0.132451,0.129641,0.124595
CP_EI_CoC,Central Asia,electricity_price,0.093708,0.095009,0.094845,0.095156,0.095765,0.096461,0.096287
CP_EI_CoC,China,electricity_price,0.067958,0.048026,0.05651,0.06239,0.07075,0.082123,0.088761
CP_EI_CoC,Colombia,electricity_price,0.106011,0.103851,0.102256,0.104859,0.102718,0.101931,0.101059
CP_EI_CoC,EU-12,electricity_price,0.076363,0.057953,0.073448,0.118337,0.119664,0.119489,0.110357
CP_EI_CoC,EU-15,electricity_price,0.073403,0.050535,0.037654,0.083387,0.096255,0.096404,0.085238
CP_EI_CoC,Europe_Eastern,electricity_price,0.119324,0.12061,0.113131,0.099302,0.097502,0.099512,0.100791
CP_EI_CoC,Europe_Non_EU,electricity_price,0.080405,0.082554,0.078791,0.07186,0.096741,0.104244,0.112552
CP_EI_CoC,European Free Trade Association,electricity_price,0.094469,0.097868,0.09479,0.09701,0.096948,0.094553,0.092822
CP_EI_CoC,India,electricity_price,0.069237,0.071671,0.072283,0.081763,0.082771,0.089316,0.093945
CP_EI_CoC,Indonesia,electricity_price,0.05996,0.056609,0.068945,0.079568,0.094744,0.104699,0.103988
CP_EI_CoC,Japan,electricity_price,0.107137,0.086157,-0.04777,0.113784,0.098201,0.120069,0.114319
CP_EI_CoC,Mexico,electricity_price,0.098965,0.101161,0.097464,0.092889,0.09352,0.092541,0.087821
CP_EI_CoC,Middle East,electricity_price,0.169083,0.131981,0.111119,0.165644,0.140359,0.143798,0.146153
CP_EI_CoC,Pakistan,electricity_price,0.119364,0.1231,0.126374,0.134628,0.136937,0.134918,0.130321
CP_EI_CoC,Russia,electricity_price,0.096115,0.097026,0.098947,0.10215,0.100033,0.107543,0.107583
CP_EI_CoC,South Africa,electricity_price,0.066594,0.065132,0.05691,0.084282,0.088111,0.097138,0.101218
CP_EI_CoC,South America_Northern,electricity_price,0.180317,0.170412,0.159191,0.15838,0.163068,0.17011,0.174576
CP_EI_CoC,South America_Southern,electricity_price,0.111642,0.108157,0.104368,0.10513,0.105276,0.103923,0.102127
CP_EI_CoC,South Asia,electricity_price,0.099496,0.099787,0.100091,0.104139,0.105992,0.106787,0.10578
CP_EI_CoC,South Korea,electricity_price,0.083193,0.079902,-0.0154,0.073468,0.073586,0.147207,0.142024
CP_EI_CoC,Southeast Asia,electricity_price,0.067383,0.069535,0.069972,0.072886,0.074877,0.076317,0.076359
CP_EI_CoC,Taiwan,electricity_price,0.06412,0.065356,0.064175,0.077342,0.093254,0.09982,0.102783
CP_EI_CoC,USA,electricity_price,0.092383,0.082231,0.085877,0.09067,0.094273,0.093626,0.092652
Fossil_CoC,Africa_Eastern,electricity_price,0.140012,0.134585,0.134876,0.142933,0.140771,0.136983,0.132889
Fossil_CoC,Africa_Northern,electricity_price,0.120972,0.12286,0.121097,0.122873,0.124131,0.12392,0.123754
Fossil_CoC,Africa_Southern,electricity_price,0.170443,0.201472,0.211659,0.207941,0.205761,0.202604,0.191557
Fossil_CoC,Africa_Western,electricity_price,0.121633,0.132982,0.131985,0.143115,0.151125,0.154477,0.152549
Fossil_CoC,Argentina,electricity_price,0.131027,0.141515,0.14189,0.145331,0.147594,0.149925,0.149691
Fossil_CoC,Australia_NZ,electricity_price,0.078191,0.084511,0.111476,0.110682,0.103517,0.107019,0.108409
Fossil_CoC,Brazil,electricity_price,0.099524,0.039817,0.065844,0.078044,0.090117,0.092861,0.095012
Fossil_CoC,Canada,electricity_price,0.093255,0.089843,0.084121,0.084017,0.090772,0.091869,0.091376
Fossil_CoC,Central America and Caribbean,electricity_price,0.12492,0.149814,0.142516,0.141243,0.14319,0.139751,0.133673
Fossil_CoC,Central Asia,electricity_price,0.093709,0.102996,0.105782,0.121392,0.123964,0.125754,0.126377
Fossil_CoC,China,electricity_price,0.068019,0.061258,0.06768,0.077287,0.084645,0.096363,0.099078
Fossil_CoC,Colombia,electricity_price,0.106013,0.133098,0.140696,0.148732,0.12027,0.118808,0.11514
Fossil_CoC,EU-12,electricity_price,0.076364,0.058838,0.076012,0.118169,0.123416,0.122773,0.113169
Fossil_CoC,EU-15,electricity_price,0.073397,0.051201,0.0401,0.082838,0.099126,0.098775,0.087169
Fossil_CoC,Europe_Eastern,electricity_price,0.119326,0.127494,0.121805,0.112692,0.113124,0.114842,0.114924
Fossil_CoC,Europe_Non_EU,electricity_price,0.080408,0.088392,0.085888,0.083706,0.104358,0.121128,0.130154
Fossil_CoC,European Free Trade Association,electricity_price,0.094469,0.098536,0.094496,0.09898,0.100254,0.098203,0.09549
Fossil_CoC,India,electricity_price,0.069234,0.074752,0.076871,0.092382,0.097171,0.105013,0.109819
Fossil_CoC,Indonesia,electricity_price,0.059962,0.058276,0.074106,0.08286,0.088084,0.098158,0.098192
Fossil_CoC,Japan,electricity_price,0.107138,0.111766,0.100149,0.104658,0.106035,0.124883,0.118802
Fossil_CoC,Mexico,electricity_price,0.098968,0.125999,0.12068,0.113527,0.114056,0.116467,0.113884
Fossil_CoC,Middle East,electricity_price,0.169084,0.167076,0.16725,0.192213,0.183297,0.175951,0.165768
Fossil_CoC,Pakistan,electricity_price,0.119366,0.124365,0.129067,0.139994,0.144284,0.142645,0.13792
Fossil_CoC,Russia,electricity_price,0.096116,0.100603,0.102093,0.1116,0.114362,0.115865,0.114458
Fossil_CoC,South Africa,electricity_price,0.066596,0.095974,0.104145,0.126036,0.128859,0.126446,0.122549
Fossil_CoC,South America_Northern,electricity_price,0.180318,0.172636,0.162054,0.159625,0.164407,0.170063,0.173034
